lecturer_id,lecturer_name,module_id,job_role,teaching_classes
L001,"Dr. Emily Johnson",M00001,"senior lecturer","Network Fundamentals"
L002,"Prof. Daniel Smith",M00002,professor,"Network Routing and Switching"
L003,"Dr. Sarah Adams",M00003,"senior lecturer","Network Security Principles"
L004,"Prof. Michael Brown",M00004,professor,"Cryptography and Encryption"
L005,"Dr. Jennifer Martinez",M00005,"senior lecturer","Secure Network Design and Configuration"
L006,"Prof. David Wilson",M00006,professor,"Wireless Network Security"
L007,"Dr. Samantha Taylor",M00007,"senior lecturer","Intrusion Detection and Prevention Systems"
L008,"Prof. Christopher Clark",M00008,professor,"Firewall Management and Configuration"
L009,"Dr. Jessica White",M00009,"senior lecturer","Virtual Private Networks (VPNs)"
L010,"Prof. Matthew Thompson",M00010,professor,"Ethical Hacking and Penetration Testing"
L011,"Dr. Lauren Harris",M00011,"senior lecturer","Incident Response and Forensics"
L012,"Prof. James Rodriguez",M00012,professor,"Cloud Security"
L013,"Dr. Amanda Lee",M00013,"senior lecturer","Advanced Software Engineering"
L014,"Prof. Andrew Martinez",M00014,professor,"Object-Oriented Programming"
L015,"Dr. Rachel Evans",M00015,"senior lecturer","Web Development Technologies"
L016,"Prof. Joshua Garcia",M00016,professor,"Database Systems"
L017,"Dr. Olivia Martinez",M00017,"senior lecturer","Software Testing and Quality Assurance"
L018,"Prof. Benjamin Thomas",M00018,professor,"Mobile Application Development"
L019,"Dr. Victoria Anderson",M00019,"Principal Lecturer","Cloud Computing"
L020,"Prof. Ethan Moore",M00020,professor,"Agile Software Development"
L021,"Dr. Natalie King",M00021,"Principal Lecturer","User Interface and User Experience Design"
L022,"Prof. Samuel Lewis",M00022,professor,"Project Management for Software Development"
L023,"Dr. Kimberly Johnson",M00023,"Principal Lecturer","Software Security and Cryptography"
L024,"Prof. Nicholas Robinson",M00024,professor,"Artificial Intelligence and Machine Learning"
L025,"Dr. Rebecca Wright",M00025,"Principal Lecturer","Introduction to Data Analytics"
L026,"Prof. Alexander Hall",M00026,professor,"Statistical Analysis for Business"
L027,"Dr. Michelle Young",M00027,professor,"Data Visualization and Reporting"
L028,"Prof. Ryan Carter",M00028,"senior lecturer","Database Management and SQL"
L029,"Dr. Stephanie Scott",M00029,professor,"Predictive Analytics"
L030,"Prof. William Baker",M00030,"senior lecturer","Machine Learning for Business Analytics"
L001,"Dr. Emily Johnson",M00031,"senior lecturer","Database Systems"
L002,"Prof. Daniel Smith",M00032,professor,"Software Testing and Quality Assurance"
L003,"Dr. Sarah Adams",M00033,"senior lecturer","Mobile Application Development"
L004,"Prof. Michael Brown",M00034,professor,"Cloud Computing"
L005,"Dr. Jennifer Martinez",M00035,"senior lecturer","Agile Software Development"
L006,"Prof. David Wilson",M00036,professor,"User Interface and User Experience Design"
L007,"Dr. Samantha Taylor",M00037,"senior lecturer","Project Management for Software Development"
