Student ID   Student Name          Program Name                                             Module Name                                       Grades  Finishing Date  Needs to Repeat Class  
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Cryptography and Encryption                       98      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Ethical Hacking and Penetration Testing           76      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Firewall Management and Configuration             87      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Intrusion Detection and Prevention Systems        85      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Network Fundamentals                              75      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Network Routing and Switching                     79      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Network Security Principles                       86      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Secure Network Design and Configuration           50      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Virtual Private Networks (VPNs)                   81      2021-10-17      N                     
S0000000001   John Smith            level 7 Diploma in Networking & Systems Security         Wireless Network Security                         40      2021-10-17      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Advanced Software Engineering                     90      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Agile Software Development                        67      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Cloud Computing                                   72      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Database Systems                                  55      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Mobile Application Development                    76      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Object-Oriented Programming                       88      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Project Management for Software Development       93      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Software Testing and Quality Assurance            93      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          User Interface and User Experience Design         50      2025-07-24      N                     
S0000000002   Emily Johnson         Level 7 Diploma in Applied Software Development          Web Development Technologies                      99      2025-07-24      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Big Data Technologies                             74      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Business Intelligence and Data Warehousing        56      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Data Mining Techniques                            83      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Data Visualization and Reporting                  90      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Database Management and SQL                       87      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Introduction to Data Analytics                    58      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Machine Learning for Business Analytics           83      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Predictive Analytics                              81      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Statistical Analysis for Business                 98      2024-05-02      N                     
S0000000003   Michael Williams      Level 7 Diploma in Data Analytics for Business           Text Mining and Natural Language Processing       74      2024-05-02      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Advanced Data Analytics Techniques                92      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Advanced Data Visualization and Reporting         93      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Advanced Statistical Analysis for Business        45      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Big Data Analytics and Technologies               83      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Data Warehousing and Business Intelligence        65      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Deep Learning for Data Analytics                  81      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Predictive Modeling and Machine Learning          69      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Spatial Data Analysis                             85      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Text Analytics and Natural Language Processing    55      2023-05-11      N                     
S0000000004   Sarah Brown           level 8 Higher Diploma in Data Analytics for Business    Time Series Analysis and Forecasting              97      2023-05-11      N                     
